"Market and Exchange Names","As of Date in Form YYMMDD","As of Date in Form YYYY-MM-DD","CFTC Contract Market Code","CFTC Market Code in Initials","CFTC Region Code","CFTC Commodity Code","Open Interest (All)","Noncommercial Positions-Long (All)","Noncommercial Positions-Short (All)","Noncommercial Positions-Spreading (All)","Commercial Positions-Long (All)","Commercial Positions-Short (All)"," Total Reportable Positions-Long (All)","Total Reportable Positions-Short (All)","Nonreportable Positions-Long (All)","Nonreportable Positions-Short (All)","Open Interest (Old)","Noncommercial Positions-Long (Old)","Noncommercial Positions-Short (Old)","Noncommercial Positions-Spreading (Old)","Commercial Positions-Long (Old)","Commercial Positions-Short (Old)","Total Reportable Positions-Long (Old)","Total Reportable Positions-Short (Old)","Nonreportable Positions-Long (Old)","Nonreportable Positions-Short (Old)","Open Interest (Other)","Noncommercial Positions-Long (Other)","Noncommercial Positions-Short (Other)","Noncommercial Positions-Spreading (Other)","Commercial Positions-Long (Other)","Commercial Positions-Short (Other)","Total Reportable Positions-Long (Other)","Total Reportable Positions-Short (Other)","Nonreportable Positions-Long (Other)","Nonreportable Positions-Short (Other)","Change in Open Interest (All)","Change in Noncommercial-Long (All)","Change in Noncommercial-Short (All)","Change in Noncommercial-Spreading (All)","Change in Commercial-Long (All)","Change in Commercial-Short (All)","Change in Total Reportable-Long (All)","Change in Total Reportable-Short (All)","Change in Nonreportable-Long (All)","Change in Nonreportable-Short (All)","% of Open Interest (OI) (All)","% of OI-Noncommercial-Long (All)","% of OI-Noncommercial-Short (All)","% of OI-Noncommercial-Spreading (All)","% of OI-Commercial-Long (All)","% of OI-Commercial-Short (All)","% of OI-Total Reportable-Long (All)","% of OI-Total Reportable-Short (All)","% of OI-Nonreportable-Long (All)","% of OI-Nonreportable-Short (All)","% of Open Interest (OI)(Old)","% of OI-Noncommercial-Long (Old)","% of OI-Noncommercial-Short (Old)","% of OI-Noncommercial-Spreading (Old)","% of OI-Commercial-Long (Old)","% of OI-Commercial-Short (Old)","% of OI-Total Reportable-Long (Old)","% of OI-Total Reportable-Short (Old)","% of OI-Nonreportable-Long (Old)","% of OI-Nonreportable-Short (Old)","% of Open Interest (OI) (Other)","% of OI-Noncommercial-Long (Other)","% of OI-Noncommercial-Short (Other)","% of OI-Noncommercial-Spreading (Other)","% of OI-Commercial-Long (Other)","% of OI-Commercial-Short (Other)","% of OI-Total Reportable-Long (Other)","% of OI-Total Reportable-Short (Other)","% of OI-Nonreportable-Long (Other)","% of OI-Nonreportable-Short (Other)","Traders-Total (All)","Traders-Noncommercial-Long (All)","Traders-Noncommercial-Short (All)","Traders-Noncommercial-Spreading (All)","Traders-Commercial-Long (All)","Traders-Commercial-Short (All)","Traders-Total Reportable-Long (All)","Traders-Total Reportable-Short (All)","Traders-Total (Old)","Traders-Noncommercial-Long (Old)","Traders-Noncommercial-Short (Old)","Traders-Noncommercial-Spreading (Old)","Traders-Commercial-Long (Old)","Traders-Commercial-Short (Old)","Traders-Total Reportable-Long (Old)","Traders-Total Reportable-Short (Old)","Traders-Total (Other)","Traders-Noncommercial-Long (Other)","Traders-Noncommercial-Short (Other)","Traders-Noncommercial-Spreading (Other)","Traders-Commercial-Long (Other)","Traders-Commercial-Short (Other)","Traders-Total Reportable-Long (Other)","Traders-Total Reportable-Short (Other)","Concentration-Gross LT = 4 TDR-Long (All)","Concentration-Gross LT =4 TDR-Short (All)","Concentration-Gross LT =8 TDR-Long (All)","Concentration-Gross LT =8 TDR-Short (All)","Concentration-Net LT =4 TDR-Long (All)","Concentration-Net LT =4 TDR-Short (All)","Concentration-Net LT =8 TDR-Long (All)","Concentration-Net LT =8 TDR-Short (All)","Concentration-Gross LT =4 TDR-Long (Old)","Concentration-Gross LT =4 TDR-Short (Old)","Concentration-Gross LT =8 TDR-Long (Old)","Concentration-Gross LT =8 TDR-Short (Old)","Concentration-Net LT =4 TDR-Long (Old)","Concentration-Net LT =4 TDR-Short (Old)","Concentration-Net LT =8 TDR-Long (Old)","Concentration-Net LT =8 TDR-Short (Old)","Concentration-Gross LT =4 TDR-Long (Other)","Concentration-Gross LT =4 TDR-Short(Other)","Concentration-Gross LT =8 TDR-Long (Other)","Concentration-Gross LT =8 TDR-Short(Other)","Concentration-Net LT =4 TDR-Long (Other)","Concentration-Net LT =4 TDR-Short (Other)","Concentration-Net LT =8 TDR-Long (Other)","Concentration-Net LT =8 TDR-Short (Other)","Contract Units","CFTC Contract Market Code (Quotes)","CFTC Market Code in Initials (Quotes)","CFTC Commodity Code (Quotes)"
"PJM.AEP-DAYTON HUB_mo_on_dap - NODAL EXCHANGE",240206,2024-02-06,064DLW,NODX,01,064 ,   92281,    9440,    6962,     413,   72274,   74760,   82127,   82135,   10154,   10146,   92281,    9440,    6962,     413,   72274,   74760,   82127,   82135,   10154,   10146,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -7437,   -1380,    -290,     -58,   -4476,   -5631,   -5914,   -5979,   -1523,   -1458,  100.0,   10.2,    7.5,    0.4,   78.3,   81.0,   89.0,   89.0,   11.0,   11.0,  100.0,   10.2,    7.5,    0.4,   78.3,   81.0,   89.0,   89.0,   11.0,   11.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      2,      5,      3,     23,     20,     26,     27,     34,      2,      5,      3,     23,     20,     26,     27,      0,      0,      0,      0,      0,      0,      0,      0,    50.2,    48.9,    73.4,    69.8,    48.5,    45.6,    70.3,    63.5,    50.2,    48.9,    73.4,    69.8,    48.5,    45.6,    70.3,    63.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLW","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_on_dap - NODAL EXCHANGE",240130,2024-01-30,064DLW,NODX,01,064 ,   99718,   10820,    7252,     471,   76750,   80391,   88041,   88114,   11677,   11604,   99718,   10820,    7252,     471,   76750,   80391,   88041,   88114,   11677,   11604,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     673,    -175,       0,       0,     848,     673,     673,     673,       0,       0,  100.0,   10.9,    7.3,    0.5,   77.0,   80.6,   88.3,   88.4,   11.7,   11.6,  100.0,   10.9,    7.3,    0.5,   77.0,   80.6,   88.3,   88.4,   11.7,   11.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      2,      5,      2,     24,     21,     27,     27,     34,      2,      5,      2,     24,     21,     27,     27,      0,      0,      0,      0,      0,      0,      0,      0,    46.8,    49.9,    68.9,    70.1,    45.2,    45.6,    66.0,    64.4,    46.8,    49.9,    68.9,    70.1,    45.2,    45.6,    66.0,    64.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLW","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_on_dap - NODAL EXCHANGE",240123,2024-01-23,064DLW,NODX,01,064 ,   99045,   10995,    7252,     471,   75902,   79718,   87368,   87441,   11677,   11604,   99045,   10995,    7252,     471,   75902,   79718,   87368,   87441,   11677,   11604,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     941,    -575,       0,       0,    1690,    1115,    1115,    1115,    -174,    -174,  100.0,   11.1,    7.3,    0.5,   76.6,   80.5,   88.2,   88.3,   11.8,   11.7,  100.0,   11.1,    7.3,    0.5,   76.6,   80.5,   88.2,   88.3,   11.8,   11.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      2,      5,      2,     24,     22,     27,     28,     34,      2,      5,      2,     24,     22,     27,     28,      0,      0,      0,      0,      0,      0,      0,      0,    47.2,    49.9,    69.0,    69.9,    45.6,    45.6,    66.2,    64.2,    47.2,    49.9,    69.0,    69.9,    45.6,    45.6,    66.2,    64.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLW","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_on_dap - NODAL EXCHANGE",240116,2024-01-16,064DLW,NODX,01,064 ,   98104,   11570,    7252,     471,   74212,   78603,   86253,   86326,   11851,   11778,   98104,   11570,    7252,     471,   74212,   78603,   86253,   86326,   11851,   11778,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     860,       0,       0,       0,     818,     818,     818,     818,      42,      42,  100.0,   11.8,    7.4,    0.5,   75.6,   80.1,   87.9,   88.0,   12.1,   12.0,  100.0,   11.8,    7.4,    0.5,   75.6,   80.1,   87.9,   88.0,   12.1,   12.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      2,      5,      2,     24,     22,     27,     28,     34,      2,      5,      2,     24,     22,     27,     28,      0,      0,      0,      0,      0,      0,      0,      0,    47.2,    49.5,    68.5,    69.6,    45.6,    45.1,    65.7,    63.8,    47.2,    49.5,    68.5,    69.6,    45.6,    45.1,    65.7,    63.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLW","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_on_dap - NODAL EXCHANGE",240109,2024-01-09,064DLW,NODX,01,064 ,   97244,   11570,    7252,     471,   73394,   77785,   85435,   85508,   11809,   11736,   97244,   11570,    7252,     471,   73394,   77785,   85435,   85508,   11809,   11736,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -3215,    -890,    -237,     -50,   -1855,   -2213,   -2795,   -2500,    -420,    -715,  100.0,   11.9,    7.5,    0.5,   75.5,   80.0,   87.9,   87.9,   12.1,   12.1,  100.0,   11.9,    7.5,    0.5,   75.5,   80.0,   87.9,   87.9,   12.1,   12.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,      2,      5,      2,     23,     22,     26,     28,     34,      2,      5,      2,     23,     22,     26,     28,      0,      0,      0,      0,      0,      0,      0,      0,    47.5,    49.3,    68.9,    69.5,    45.8,    45.5,    66.0,    63.8,    47.5,    49.3,    68.9,    69.5,    45.8,    45.5,    66.0,    63.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLW","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_on_dap - NODAL EXCHANGE",240102,2024-01-02,064DLW,NODX,01,064 ,  100459,   12460,    7489,     521,   75249,   79998,   88230,   88008,   12229,   12451,  100459,   12460,    7489,     521,   75249,   79998,   88230,   88008,   12229,   12451,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     265,     -65,       0,       0,     330,     265,     265,     265,       0,       0,  100.0,   12.4,    7.5,    0.5,   74.9,   79.6,   87.8,   87.6,   12.2,   12.4,  100.0,   12.4,    7.5,    0.5,   74.9,   79.6,   87.8,   87.6,   12.2,   12.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      2,      5,      2,     24,     23,     27,     29,     35,      2,      5,      2,     24,     23,     27,     29,      0,      0,      0,      0,      0,      0,      0,      0,    48.0,    48.3,    69.7,    69.5,    46.1,    44.8,    65.9,    63.7,    48.0,    48.3,    69.7,    69.5,    46.1,    44.8,    65.9,    63.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLW","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240213,2024-02-13,064DLX,NODX,01,064 ,   92056,   10360,    6661,     439,   69911,   73479,   80710,   80579,   11346,   11477,   92056,   10360,    6661,     439,   69911,   73479,   80710,   80579,   11346,   11477,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1230,      10,       0,       0,    1165,    1175,    1175,    1175,      55,      55,  100.0,   11.3,    7.2,    0.5,   75.9,   79.8,   87.7,   87.5,   12.3,   12.5,  100.0,   11.3,    7.2,    0.5,   75.9,   79.8,   87.7,   87.5,   12.3,   12.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      3,      5,      3,     22,     19,     26,     26,     35,      3,      5,      3,     22,     19,     26,     26,      0,      0,      0,      0,      0,      0,      0,      0,    49.2,    48.2,    68.6,    68.0,    47.5,    45.7,    65.5,    62.6,    49.2,    48.2,    68.6,    68.0,    47.5,    45.7,    65.5,    62.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240206,2024-02-06,064DLX,NODX,01,064 ,   90826,   10350,    6661,     439,   68746,   72304,   79535,   79404,   11291,   11422,   90826,   10350,    6661,     439,   68746,   72304,   79535,   79404,   11291,   11422,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -7372,   -1640,    -351,     -49,   -4334,   -5767,   -6023,   -6167,   -1349,   -1205,  100.0,   11.4,    7.3,    0.5,   75.7,   79.6,   87.6,   87.4,   12.4,   12.6,  100.0,   11.4,    7.3,    0.5,   75.7,   79.6,   87.6,   87.4,   12.4,   12.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      3,      5,      3,     22,     19,     26,     26,     35,      3,      5,      3,     22,     19,     26,     26,      0,      0,      0,      0,      0,      0,      0,      0,    49.9,    48.8,    68.1,    67.6,    48.2,    46.3,    65.0,    63.4,    49.9,    48.8,    68.1,    67.6,    48.2,    46.3,    65.0,    63.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240130,2024-01-30,064DLX,NODX,01,064 ,   98198,   11990,    7012,     488,   73080,   78071,   85558,   85571,   12640,   12627,   98198,   11990,    7012,     488,   73080,   78071,   85558,   85571,   12640,   12627,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     998,    -235,       0,      15,    1148,     913,     928,     928,      70,      70,  100.0,   12.2,    7.1,    0.5,   74.4,   79.5,   87.1,   87.1,   12.9,   12.9,  100.0,   12.2,    7.1,    0.5,   74.4,   79.5,   87.1,   87.1,   12.9,   12.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,      3,      6,      3,     23,     20,     27,     28,     36,      3,      6,      3,     23,     20,     27,     28,      0,      0,      0,      0,      0,      0,      0,      0,    47.1,    48.9,    64.6,    68.7,    45.6,    46.6,    61.2,    63.5,    47.1,    48.9,    64.6,    68.7,    45.6,    46.6,    61.2,    63.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240123,2024-01-23,064DLX,NODX,01,064 ,   97200,   12225,    7012,     473,   71932,   77158,   84630,   84643,   12570,   12557,   97200,   12225,    7012,     473,   71932,   77158,   84630,   84643,   12570,   12557,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     772,    -575,      60,       0,    1593,     958,    1018,    1018,    -246,    -246,  100.0,   12.6,    7.2,    0.5,   74.0,   79.4,   87.1,   87.1,   12.9,   12.9,  100.0,   12.6,    7.2,    0.5,   74.0,   79.4,   87.1,   87.1,   12.9,   12.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,      3,      6,      2,     23,     21,     27,     28,     36,      3,      6,      2,     23,     21,     27,     28,      0,      0,      0,      0,      0,      0,      0,      0,    47.7,    48.4,    65.0,    68.3,    46.2,    45.8,    61.7,    63.1,    47.7,    48.4,    65.0,    68.3,    46.2,    45.8,    61.7,    63.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240116,2024-01-16,064DLX,NODX,01,064 ,   96428,   12800,    6952,     473,   70339,   76200,   83612,   83625,   12816,   12803,   96428,   12800,    6952,     473,   70339,   76200,   83612,   83625,   12816,   12803,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     760,       0,       0,       0,     760,     760,     760,     760,       0,       0,  100.0,   13.3,    7.2,    0.5,   72.9,   79.0,   86.7,   86.7,   13.3,   13.3,  100.0,   13.3,    7.2,    0.5,   72.9,   79.0,   86.7,   86.7,   13.3,   13.3,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      3,      5,      2,     23,     21,     27,     27,     35,      3,      5,      2,     23,     21,     27,     27,      0,      0,      0,      0,      0,      0,      0,      0,    47.6,    48.0,    64.3,    67.8,    46.1,    45.7,    60.9,    62.5,    47.6,    48.0,    64.3,    67.8,    46.1,    45.7,    60.9,    62.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240109,2024-01-09,064DLX,NODX,01,064 ,   95668,   12800,    6952,     473,   69579,   75440,   82852,   82865,   12816,   12803,   95668,   12800,    6952,     473,   69579,   75440,   82852,   82865,   12816,   12803,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -2981,   -1190,    -306,    -264,   -1151,   -1720,   -2605,   -2290,    -376,    -691,  100.0,   13.4,    7.3,    0.5,   72.7,   78.9,   86.6,   86.6,   13.4,   13.4,  100.0,   13.4,    7.3,    0.5,   72.7,   78.9,   86.6,   86.6,   13.4,   13.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,      3,      5,      2,     22,     21,     26,     27,     35,      3,      5,      2,     22,     21,     26,     27,      0,      0,      0,      0,      0,      0,      0,      0,    47.9,    48.4,    64.7,    67.8,    46.4,    46.1,    61.3,    62.3,    47.9,    48.4,    64.7,    67.8,    46.4,    46.1,    61.3,    62.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.AEP-DAYTON HUB_mo_off_dap - NODAL EXCHANGE",240102,2024-01-02,064DLX,NODX,01,064 ,   98649,   13990,    7258,     737,   70730,   77160,   85457,   85155,   13192,   13494,   98649,   13990,    7258,     737,   70730,   77160,   85457,   85155,   13192,   13494,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     165,     -65,       0,       0,     230,     165,     165,     165,       0,       0,  100.0,   14.2,    7.4,    0.7,   71.7,   78.2,   86.6,   86.3,   13.4,   13.7,  100.0,   14.2,    7.4,    0.7,   71.7,   78.2,   86.6,   86.3,   13.4,   13.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     37,      3,      6,      2,     23,     22,     27,     29,     37,      3,      6,      2,     23,     22,     27,     29,      0,      0,      0,      0,      0,      0,      0,      0,    48.3,    48.1,    65.1,    67.3,    46.7,    45.7,    61.1,    62.0,    48.3,    48.1,    65.1,    67.3,    46.7,    45.7,    61.1,    62.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DLX","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240213,2024-02-13,064DMZ,NODX,01,064 ,   14858,     415,     680,      57,   12583,   13283,   13055,   14020,    1803,     838,   14858,     415,     680,      57,   12583,   13283,   13055,   14020,    1803,     838,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     240,       0,      60,       0,       0,     180,       0,     240,     240,       0,  100.0,    2.8,    4.6,    0.4,   84.7,   89.4,   87.9,   94.4,   12.1,    5.6,  100.0,    2.8,    4.6,    0.4,   84.7,   89.4,   87.9,   94.4,   12.1,    5.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     16,      8,     18,      9,     20,      1,      1,      1,     16,      8,     18,      9,      0,      0,      0,      0,      0,      0,      0,      0,    54.0,    89.6,    73.4,    94.3,    39.2,    68.9,    55.0,    70.2,    54.0,    89.6,    73.4,    94.3,    39.2,    68.9,    55.0,    70.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240206,2024-02-06,064DMZ,NODX,01,064 ,   14618,     415,     620,      57,   12583,   13103,   13055,   13780,    1563,     838,   14618,     415,     620,      57,   12583,   13103,   13055,   13780,    1563,     838,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1344,      -5,     -80,     -57,   -1212,   -1177,   -1274,   -1314,     -70,     -30,  100.0,    2.8,    4.2,    0.4,   86.1,   89.6,   89.3,   94.3,   10.7,    5.7,  100.0,    2.8,    4.2,    0.4,   86.1,   89.6,   89.3,   94.3,   10.7,    5.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     16,      8,     18,      9,     20,      1,      1,      1,     16,      8,     18,      9,      0,      0,      0,      0,      0,      0,      0,      0,    54.9,    89.5,    74.6,    94.2,    39.8,    68.4,    55.9,    69.7,    54.9,    89.5,    74.6,    94.2,    39.8,    68.4,    55.9,    69.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240130,2024-01-30,064DMZ,NODX,01,064 ,   15962,     420,     700,     114,   13795,   14280,   14329,   15094,    1633,     868,   15962,     420,     700,     114,   13795,   14280,   14329,   15094,    1633,     868,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     420,       0,       0,       0,     420,     420,     420,     420,       0,       0,  100.0,    2.6,    4.4,    0.7,   86.4,   89.5,   89.8,   94.6,   10.2,    5.4,  100.0,    2.6,    4.4,    0.7,   86.4,   89.5,   89.8,   94.6,   10.2,    5.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     16,      8,     18,      9,     20,      1,      1,      1,     16,      8,     18,      9,      0,      0,      0,      0,      0,      0,      0,      0,    55.7,    89.1,    74.5,    94.5,    40.9,    68.3,    56.4,    70.6,    55.7,    89.1,    74.5,    94.5,    40.9,    68.3,    56.4,    70.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240123,2024-01-23,064DMZ,NODX,01,064 ,   15542,     420,     700,     114,   13375,   13860,   13909,   14674,    1633,     868,   15542,     420,     700,     114,   13375,   13860,   13909,   14674,    1633,     868,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1365,       0,       0,       0,     920,     980,     920,     980,     445,     385,  100.0,    2.7,    4.5,    0.7,   86.1,   89.2,   89.5,   94.4,   10.5,    5.6,  100.0,    2.7,    4.5,    0.7,   86.1,   89.2,   89.5,   94.4,   10.5,    5.6,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     16,      8,     18,      9,     20,      1,      1,      1,     16,      8,     18,      9,      0,      0,      0,      0,      0,      0,      0,      0,    57.2,    88.8,    75.7,    94.4,    42.0,    67.4,    57.2,    70.2,    57.2,    88.8,    75.7,    94.4,    42.0,    67.4,    57.2,    70.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240116,2024-01-16,064DMZ,NODX,01,064 ,   14177,     420,     700,     114,   12455,   12880,   12989,   13694,    1188,     483,   14177,     420,     700,     114,   12455,   12880,   12989,   13694,    1188,     483,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,    3.0,    4.9,    0.8,   87.9,   90.9,   91.6,   96.6,    8.4,    3.4,  100.0,    3.0,    4.9,    0.8,   87.9,   90.9,   91.6,   96.6,    8.4,    3.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     15,      9,     17,     10,     20,      1,      1,      1,     15,      9,     17,     10,      0,      0,      0,      0,      0,      0,      0,      0,    60.9,    86.3,    79.3,    95.6,    43.0,    64.3,    58.9,    69.3,    60.9,    86.3,    79.3,    95.6,    43.0,    64.3,    58.9,    69.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240109,2024-01-09,064DMZ,NODX,01,064 ,   14177,     420,     700,     114,   12455,   12880,   12989,   13694,    1188,     483,   14177,     420,     700,     114,   12455,   12880,   12989,   13694,    1188,     483,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1059,      -5,    -155,       0,    -917,    -802,    -922,    -957,    -137,    -102,  100.0,    3.0,    4.9,    0.8,   87.9,   90.9,   91.6,   96.6,    8.4,    3.4,  100.0,    3.0,    4.9,    0.8,   87.9,   90.9,   91.6,   96.6,    8.4,    3.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     15,      9,     17,     10,     20,      1,      1,      1,     15,      9,     17,     10,      0,      0,      0,      0,      0,      0,      0,      0,    60.9,    86.3,    79.3,    95.6,    43.0,    64.3,    58.9,    69.3,    60.9,    86.3,    79.3,    95.6,    43.0,    64.3,    58.9,    69.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
"PJM.APS_month_off_dap - NODAL EXCHANGE",240102,2024-01-02,064DMZ,NODX,01,064 ,   15236,     425,     855,     114,   13372,   13682,   13911,   14651,    1325,     585,   15236,     425,     855,     114,   13372,   13682,   13911,   14651,    1325,     585,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      10,       0,       0,       0,       0,      10,       0,      10,      10,       0,  100.0,    2.8,    5.6,    0.7,   87.8,   89.8,   91.3,   96.2,    8.7,    3.8,  100.0,    2.8,    5.6,    0.7,   87.8,   89.8,   91.3,   96.2,    8.7,    3.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     20,      1,      1,      1,     15,      9,     17,     10,     20,      1,      1,      1,     15,      9,     17,     10,      0,      0,      0,      0,      0,      0,      0,      0,    61.0,    86.1,    79.1,    95.2,    43.4,    64.4,    59.2,    69.3,    61.0,    86.1,    79.1,    95.2,    43.4,    64.4,    59.2,    69.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"Megawatt Hours (MWh)","064DMZ","NODX","064 "
